family_id,family_name,reference_ids,core_layout,primary_strength,best_use,avoid
VG01,two_partner_exchange,"M001;M005;M013;M016",two domains with shared interface,clear inter-partner transfer logic,microbial exchange and competing-route diagrams,too many crossing connectors
VG02,environmental_multiscale_context,"M002;M015;M017",scene or cutaway to localized mechanism,spatial hierarchy and ecological localization,wetland sediment root and mineral-interface context,letting scenery overpower mechanism
VG03,evidence_to_model,"M003;M006;M007;M012",mechanism paired with adjacent quantitative evidence,keeps interpretation visually tied to data,mechanism summary supported by omics or functional validation,using dashboard density in a standalone schematic
VG04,material_interface_hero,"M004;M005;M019;M020",central material or membrane interface with local callouts,material-microbe contact and electron-route clarity,GAC electrode mineral and membrane EET figures,rendering every component at equal priority
VG05,perturbation_comparison,"M013;M016;M018",matched geometry across two conditions,condition-specific contrast with minimal confounding,oxygen light dark donor-rich donor-poor comparisons,changing layout and palette simultaneously
VG06,membrane_to_metabolism,"M014;M019;M020",compartmented membrane cutaway linked to downstream metabolism,connects electron entry respiration and carbon fate,Bath metabolism EET EEU and redox routing,full proteome-level label density
VG07,modular_route_comparison,"M008;M010",small multiples with repeated visual grammar,clean comparison of alternative routes or architectures,alternative pathway biohybrid or interface designs,unequal detail across modules
VG08,staged_biohybrid_story,"M004;M020;M021",module explanation followed by integrated system,teaches unfamiliar hybrid mechanisms stepwise,Bath Bio-Se light-driven EEU and graphical abstracts,repeating the same information in every stage
VG09,systems_functional_hub,"M009",functional sectors around a central energy-redox hub,strong chapter-level synthesis and objective overview,high-level pathway or chapter summary,using conceptual arrows as quantitative flux claims
VG10,intervention_to_adaptation,"M022",paired intervention and biological-adaptation domains connected by one dominant causal arrow,compresses long-term conditioning evolution and functional phenotype into one graphical abstract,targeted acclimation adaptive evolution metabolic rewiring and long-term selection stories,using evolution or HGT motifs without direct evidence
