canonical_id,strongest_roles,secondary_roles,preferred_task_families,avoid_transfer
M001,"two_partner_composition;exchange_zone;connector_grammar","palette;stage_numbering","microbial_interaction;diffusible_exchange",too_many_crossing_connectors
M002,"environmental_context;depth;perspective","spatial_labeling","sediment;wetland;stratified_environment",full_3d_texture_in_simple_mechanism
M003,"evidence_integration;mechanism_plus_data","electron_color;panel_balance","evidence_to_model;functional_validation",tiny_dashboard_text
M004,"material_interface;central_hero;zoom_callouts","soft_2_5d;application_branching","GAC;electrode;material_microbe_interface",too_many_equal_callouts
M005,"redox_scale;material_to_cell_handoff;route_contrast","two_partner_logic;soft_2_5d","conductive_material;potential_DIET;interface_redox",certainty_by_color_alone
M006,"data_to_mechanism;reversible_cycle","panel_hierarchy","redox_storage;perturbation_interpretation",schematic_outweighing_evidence
M007,"chemistry_to_membrane;mechanism_plus_evidence","single_handoff_arrow;plot_balance","molecular_interface;functional_validation",decorative_cross_panel_arrows
M008,"small_multiples;route_comparison","repeated_arrow_geometry","alternative_routes;design_options",unequal_module_detail
M009,"systems_overview;central_energy_hub","sector_palette;arrow_scale","objective_overview;chapter_summary",detailed_flux_claims
M010,"architecture_taxonomy;repeated_modules","panel_consistency;technical_icons","biohybrid_comparison;interface_design",review_level_density
M011,"environment_to_phenotype;low_density_story","survival_branching;context_icons","environmental_stress;graphical_abstract",clip_art_literalism
M012,"multiomics_to_mechanism;high_density_layout","pathway_color_consistency;dashboard_hierarchy","omics_summary;evidence_to_model",standalone_mechanism_use
M013,"alternative_mechanisms;matched_geometry","condition_icons;stacked_comparison","competing_hypotheses;biotic_vs_abiotic",unequal_panel_geometry
M014,"membrane_to_metabolism;carbon_partition","compartment_hierarchy;pathway_simplification","Bath_metabolism;oxygen_effect;carbon_allocation",enzyme_level_overload
M015,"scene_to_zoom;multiscale_context;energy_scale","charge_color_semantics;landscape_context","environmental_mechanism;material_interface",overloaded_context_plus_mechanism
M016,"mirrored_perturbation;state_transition","semantic_background;molecule_icons","oxygen_perturbation;condition_switch",decorative_day_night_without_meaning
M017,"environmental_zoom;root_interface","redox_pair;low_saturation_context","rhizosphere;wetland_interface;mineral_context",crowded_root_labels
M018,"soft_2_5d_cells;matched_condition_comparison","pathway_switch;mini_response_plot","perturbation_summary;graphical_abstract",excessive_glow
M019,"membrane_EET;arrow_semantics;candidate_line_style","FeS_bridge;quinone_loop;compartment_scaffold","EET;EEU;membrane_route;cold_candidate_pathways",protein_label_overload
M020,"process_to_function;material_formation_to_EET","membrane_palette;graphical_abstract","BioSe;interface_construction;functional_story",stage_density_imbalance
M021,"staged_biohybrid_story;module_to_integrated_system","soft_cell;solar_semantics;product_endpoint","biohybrid;light_driven_EEU;objective_overview",generic_cell_shape_and_excess_glow
