candidate_id,year,journal,title,doi_or_url,primary_target,secondary_target,license,public_mirror_eligible,priority,notes
OA-001,2024,Nature Communications,Metabolic coupling between soil aerobic methanotrophs and denitrifiers in rice paddy fields,10.1038/s41467-024-47827-y,microbial_interaction,environmental_process,CC BY 4.0,true,A,"Highly relevant to Bath-RP logic; methane oxidation to diffusible intermediates and denitrifier coupling; prioritize pathway/coupling figures after visual QA."
OA-002,2025,Nature Communications,Electron shuttling promotes denitrification and mitigates nitrous oxide emissions in lakes,10.1038/s41467-025-63601-0,electron_transfer,environmental_process,CC BY 4.0,true,A,"Strong EET + fluctuating-redox environmental relevance; candidate for shuttle/cytochrome/electron-flow schematic."
OA-003,2025,Nature Communications,Bio-hybrid photoelectrochemical catalysis for solar fuels and chemicals conversion,10.1038/s41467-025-64931-9,material_microbe_interface,electron_transfer,CC BY 4.0,true,A,"High-value review/perspective for electrode/semiconductor-microbe layouts; screen each figure for third-party credits before mirroring."
OA-004,2026,Nature Communications,Dissolved organic matter-generated photoelectrons enable microbial antimonate reduction in mine stream sediments,10.1038/s41467-026-72108-1,electron_transfer,environmental_process,CC BY 4.0,true,A,"Natural photoelectron supply to microbes; useful for environmental electron-donor/electron-flow visual grammar."
OA-005,2026,Nature Communications,Redox-stratified macromolecule degradation supports microbial survival in the oligotrophic Kermadec Trench sediments,10.1038/s41467-026-77249-x,environmental_process,multiscale_zoom,CC BY 4.0,true,A,"Strong redox-stratification / depth-gradient candidate; prioritize environmental-layer and gradient schematics."
OA-006,2026,Chemical Reviews,Designing Microbe-Semiconductor Interfaces for Semibiological Photosynthesis,10.1021/acs.chemrev.5c00900,material_microbe_interface,electron_transfer,CC BY 4.0,true,A,"Extremely relevant for Obj2/Bio-Se interface and EEU visual language; many figures contain reproduced subpanels, so only original/non-third-party figures may enter public mirror."
OA-007,2025,PNAS,Cross-feeding creates tipping points in microbiome diversity,https://pmc.ncbi.nlm.nih.gov/articles/PMC12088387/,microbial_interaction,mechanistic_pathway,CC BY 4.0,true,A,"Fig. 1-type network schematic is directly useful for metabolite-mediated interaction grammar; visually simple and transferable."
OA-008,2025,Frontiers in Microbiology,Expanding the C-S-R framework to incorporate microbial interactions: evidence from methane-consuming communities,https://pmc.ncbi.nlm.nih.gov/articles/PMC12104230/,microbial_interaction,environmental_process,CC BY,true,A,"Methane-consuming community and methanotroph cross-feeding context is unusually close to Bath-RP research; prioritize conceptual framework figures."
OA-009,2024,Frontiers in Microbiology,Catabolism and interactions of syntrophic propionate- and acetate oxidizing microorganisms under mesophilic high-ammonia conditions,https://pmc.ncbi.nlm.nih.gov/articles/PMC11201294/,microbial_interaction,metabolic_pathway,CC BY,true,B,"Useful syntrophy/metabolite-exchange reference; verify whether figure is schematic rather than only quantitative."
OA-010,2024,Frontiers in Microbiology,Reductive dehalogenase of Dehalococcoides mccartyi strain CBDB1 reduces cobalt-containing metal complexes enabling anodic respiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC11537884/,electron_transfer,material_microbe_interface,CC BY,true,B,"Direct/mediated EET and anodic respiration; potentially useful for electrode-facing electron-flow diagrams."
OA-011,2024,Frontiers in Microbiology,Electromicrobiological concentration cells are an overlooked potential energy conservation mechanism for subsurface microorganisms,https://pmc.ncbi.nlm.nih.gov/articles/PMC11371792/,electron_transfer,environmental_process,CC BY,true,A,"Conceptual redox-gradient + microbial energy-conservation paper; likely high transfer value for environmental electron-flow schematics."
OA-012,2025,Bioresource Technology Reports,Simultaneous co-cultivation of the thermoacidophilic methanotroph Methylacidiphilum sp. RTK17.1 and the microalga Galdieria sp. RTK37.1 for single cell protein production,https://pmc.ncbi.nlm.nih.gov/articles/PMC12967838/,microbial_interaction,experimental_design,CC BY,true,B,"Methanotroph-partner coculture; useful mainly if workflow/coculture schematics are visually strong."
OA-013,2025,Environmental Science & Technology,Methane Oxidation Potential and Niche Differentiation of Aerobic Methanotrophs in Coastal Mangrove Forest Soils along a 370 Km Long Coastline in Taiwan,https://pmc.ncbi.nlm.nih.gov/articles/PMC12369018/,environmental_process,methanotroph_context,CC BY 4.0,true,B,"Recent ACS/ES&T and methanotroph-specific; prioritize environmental gradient/map + niche differentiation figures rather than data-only panels."
OA-014,2025,PNAS,Methane-powered sea spiders: Diverse epibiotic methanotrophs serve as a source of nutrition for deep-sea methane seep Sericosura,https://pmc.ncbi.nlm.nih.gov/articles/PMC12232434/,microbial_interaction,methanotroph_context,CC BY 4.0,true,B,"Unusual methane-driven host-microbe interaction; useful if overview schematic or multiscale interaction figure is original and transferable."
OA-015,2026,Frontiers in Microbiology,Saline-alkali gradients reshape soil microbial network complexity and niche breadth,https://pmc.ncbi.nlm.nih.gov/articles/PMC13357909/,environmental_process,microbial_interaction,CC BY,true,C,"Recent gradient study; retain only if figure-level visual QA finds a reusable environmental-gradient or network-composition layout."
