task_family,composition_refs,cell_or_object_refs,interface_or_pathway_refs,connector_refs,comparison_or_context_refs,notes
Bath_RP_dark_carbon_fixation,M001,M018,"M014;M001",M019,"M016;M015","Use open exchange zone; avoid species-specific isotope assignment and single-carrier dominance"
Bath_RP_high_O2_perturbation,"M016;M018",M018,M014,M019,M016,"Keep geometry matched across conditions; vary only condition cues, donor output, maintenance state and community outcome"
Bath_BioSe_biohybrid,"M020;M021","M018;M021","M004;M019;M020","M019;M020",M015,"Use formation-to-function story; distinguish candidate EEU from established EET"
GAC_potential_DIET,"M004;M005",M018,"M004;M005;M019","M005;M019",M008,"Central material should be the hero; show soluble alternatives separately; candidate routes need qualified line style"
membrane_EET_or_EEU,M019,M018,"M014;M019;M020",M019,M015,"Use compartment scaffold and explicit electron semantics; keep protein detail selective"
environmental_interface_overview,"M015;M017",M018,"M017;M015",M001,"M002;M015;M017","Use scene-to-zoom only when spatial niche is scientifically relevant"
mechanism_plus_evidence,"M003;M006",M018,"M014;M019","M019;M007","M003;M006;M007;M012","Mechanism should remain visually subordinate to or balanced with evidence"
comparative_perturbation,"M016;M018",M018,M014,M019,"M013;M016;M018","Reuse identical geometry and hierarchy across conditions"
graphical_abstract,"M020;M021","M018;M021","M004;M020",M019,"M011;M021","Teach unfamiliar module first, then integrate; keep one clear product or conclusion endpoint"
chapter_or_objective_overview,M009,M018,"M014;M004",M001,"M015;M017","Use functional sectors and a central hub; do not imply quantitative flux"
