candidate_id,year,journal,article_url,figure_number,style_learning_tier,style_reference_score_1_5,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,rights_status,third_party_check,public_mirror,active_style,notes
S15-001,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11043409/,5,B_style_reference,4,integrated_mechanism,mixed_schematic_data,evidence_to_model,high,CC BY 4.0,caption_screen_required,true,true,"Best mechanism figure: proposed coupling between aerobic methane oxidation and denitrification; retain evidence-boundary caveat"
S15-002,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12480950/,7,A_style_reference,5,electron_transfer,flat_2d_mechanism,linear_electron_flow,high,CC BY 4.0,caption_screen_required,true,true,"Humic-substance-mediated electron shuttle to denitrifiers; strong EET grammar"
S15-003,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12521356/,1,A_style_reference,5,material_interface,editorial_2d_overview,architecture_taxonomy,high,CC BY 4.0,caption_screen_required,true,true,"Bio-hybrid PEC system composition and architecture overview"
S15-003,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12521356/,3,B_style_reference,4,material_interface,flat_2d_workflow,device_comparison,high,CC BY 4.0,caption_screen_required,true,true,"H-cell to bias-free tandem flow-cell architecture comparison; distinct from Fig.1"
S15-004,2026,Chemical Reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,1,A_style_reference,5,integrated_mechanism,editorial_2d_overview,central_hub,high,CC BY 4.0,caption_screen_required,true,true,"High-level microbe-semiconductor interface overview; original-figure check required"
S15-004,2026,Chemical Reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,2,B_style_reference,4,material_interface,flat_2d_mechanism,comparative_process,high,CC BY 4.0,caption_screen_required,true,true,"Natural vs artificial vs semibiological photosynthesis comparison; reject automatically if caption carries third-party credit"
S15-005,2026,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC13284237/,2,A_style_reference,5,electron_transfer,mixed_schematic_data,experimental_electron_flow,high,CC BY 4.0,caption_screen_required,true,true,"Light/photoelectron microcosm and dual-chamber electron-transfer design"
S15-005,2026,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC13284237/,5,A_style_reference,5,integrated_mechanism,flat_2d_mechanism,evidence_to_model,high,CC BY 4.0,caption_screen_required,true,true,"Generation-transfer-utilization model for DOM-derived photoelectrons and microbial antimonate reduction"
S15-006,2026,Nature Communications,https://www.nature.com/articles/s41467-026-77249-x,1,C_context_reference,3,environmental_process,map_cartographic,map_spatial,moderate,CC BY 4.0,not_mirrored,false,false,"Useful environmental context but not strong active style reference"
S15-006,2026,Nature Communications,https://www.nature.com/articles/s41467-026-77249-x,3,exclude_from_style_learning,2,quantitative_results,panel_grid,data_matrix,moderate,CC BY 4.0,not_mirrored,false,false,"Mostly quantitative redox-expression evidence; retain metadata only"
S15-007,2025,PNAS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12088387/,1,A_style_reference,5,microbial_interaction,flat_2d_mechanism,network_schematic,high,CC BY 4.0,caption_screen_required,true,true,"Consumers-metabolites cross-feeding network and community-model grammar"
S15-008,2025,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12104230/,1,C_context_reference,3,experimental_design,mixed_schematic_data,panel_grid,high,CC BY,not_mirrored,false,false,"Biologically relevant methane-consuming community setup, but visual style is data-dominated"
S15-008,2025,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12104230/,2,exclude_from_style_learning,2,quantitative_results,quantitative_data_figure,panel_grid,high,CC BY,not_mirrored,false,false,"Community abundance results; low transfer value"
S15-009,2025,Environmental Science & Technology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12369018/,5,exclude_from_style_learning,2,quantitative_results,network_data_figure,correlation_network,high,CC BY 4.0,not_mirrored,false,false,"Relevant methanotroph environmental study but main figures are data-centric"
