element_name,seen_in_ids,style_variants,recommended_usage,avoid_usage,notes
scene_to_zoom_callout,"M015;M017","environmental panorama to hotspot; plant/rhizosphere to mechanistic inset","Use when mechanism depends on a spatial niche or environmental interface","Do not let contextual scenery overpower the mechanism","Strong bridge from ecological context to molecular/cellular process"
energy_or_redox_scale,"M005;M015","band diagram; potential ladder; redox ruler","Use to justify feasibility or energy direction without a separate full panel","Avoid tiny labels and too many competing energy conventions","Works best as a narrow side module"
mirrored_condition_split,"M016;M018","day/night aerobic-anoxic; low/high Fe condition","Use for perturbation comparisons with matched visual grammar","Avoid changing too many unrelated visual variables between sides","Central transition cue should make comparison explicit"
central_state_transition_arrow,M016,"large circular two-state arrow","Use when two regimes alternate or interconvert","Avoid if conditions are independent rather than cyclic","Good for oxygen or temporal-switch perturbations"
rhizosphere_root_zoom,M017,"plant scene plus rounded mechanistic inset","Use when root/mineral/microbe localization matters","Avoid excessive root-detail if the biological interface is the true focus","Natural context can remain low-saturation while mechanism uses accent colors"
soft_2_5d_cell_cutaway,"M004;M005;M018","rounded translucent cell capsule; clustered rods on material; soft donor/recipient cells","Use for accessible interface/phenotype mechanisms where volume helps separate objects","Avoid strong glow and decorative depth at small journal scale","Best when depth clarifies contact, not when it is purely decorative"
membrane_bilayer_cutaway,"M014;M019;M020","methanotroph membrane-to-metabolism; outer/periplasmic/cytosolic layered membrane","Use for EET/EEU, transporter, respiratory-chain and methane-oxidation mechanisms","Avoid overpopulating every membrane protein with equal visual weight","Compartment labels should anchor the reading order"
FeS_bridge_chain,"M019;M020","dark bead chain crossing periplasm","Use for conductive mineral/protein bridge hypotheses","Avoid making a candidate bridge look established without visual qualification","Distinct geometry makes conductive route legible"
electron_flow_arrow,"M003;M004;M005;M006;M015;M019;M020;M021","yellow photoelectron; red e-; blue alternative route; charge/discharge loop","Reserve a consistent accent color and explicit e- semantics","Avoid reusing the same color for carbon or generic causality","Electron grammar should be globally consistent within one figure"
dashed_candidate_connector,M019,"dashed arrow/line for putative route","Use to distinguish proposed from established mechanisms","Avoid mixing dashed lines for purely spatial grouping","Useful for evidence-boundary discipline"
process_to_function_split,M020,"left synthesis module to right functional EET module","Use when material formation and downstream function are distinct stages","Avoid a severe density imbalance between the two halves","A strong bridge arrow can encode stage transition"
module_to_integrated_story,M021,"small explanatory modules above a large integrated mechanism","Use when a biohybrid contains unfamiliar chemistry that needs pre-explanation","Avoid repeating the same content in all panels","Particularly strong for Bath-Bio-Se / light-driven EEU concepts"
solar_semantic_halo,M021,"warm yellow light field around cell","Use to encode photoactivation without complex optics","Avoid treating glow as decorative if light is not mechanistically relevant","Keep saturation restrained to preserve scientific tone"
color_coded_process_classes,"M003;M005;M012;M015;M017;M019","electron/hole, pathway, regulatory and elemental process accents","Use a small number of semantic accent colors","Avoid rainbow coding and unlabelled color meaning","Color should reinforce arrow semantics and hierarchy"
asymmetric_mechanism_evidence_split,M003,"large mechanism plus compact evidence dashboard","Use when one mechanism is the conceptual anchor and several data modules are supportive","Avoid making every small evidence panel equally prominent","Good bridge from mechanism to transcript/validation evidence"
central_biohybrid_hero_with_zoom,M004,"central electrode/material object with numbered zoom bubbles","Use when one interface supports several mechanistic interaction modes","Avoid more than three or four equal-weight callouts","Strong for GAC, electrode and mineral–microbe interface figures"
application_branching_from_core,M004,"central interface branching to multiple application boxes","Use in graphical abstracts that connect mechanism to function/application","Avoid if the applications are not central to the scientific story","Keep application arrows visually distinct from electron arrows"
DET_vs_DIET_route_contrast,M005,"warm productive route versus cool alternative/no-DIET route","Use to compare competing interspecies electron-transfer interpretations","Avoid implying certainty through saturated color alone","Pair color with explicit route labels or line-style qualifiers"
data_to_mechanism_stack,M006,"quantitative panel above compact interpretation schematic","Use when one result directly motivates a mechanistic explanation","Avoid allowing the schematic to visually outrank the evidence","Strong for perturbation and redox-storage narratives"
redox_battery_cycle,M006,"paired organisms around a central reversible Fe redox/storage loop","Use for charge/discharge or mediator-storage concepts","Avoid battery metaphors when no reversible storage exists","Circular geometry makes temporal cycling immediately legible"
environment_to_cell_fate_story,M011,"environmental context → protective response → survival/death","Use for compact stress/phenotype graphical abstracts","Avoid clip-art literalism and excessive text inside icons","Best at low-to-medium information density"
multiomics_dashboard_to_mechanism,M012,"circular heatmaps + grouped bars + large synthesis mechanism","Use when omics evidence must visibly converge on one model","Avoid for standalone mechanisms or slide figures with limited space","Primarily a composition/information-hierarchy reference; overlaps with BI019"
stacked_alternative_mechanisms,M013,"matched biotic/abiotic mechanisms stacked vertically","Use to compare causal alternatives while holding geometry constant","Avoid changing organism positions or scale between conditions","Shared geometry makes the altered arrows carry the contrast"
membrane_to_carbon_partition_cutaway,M014,"top gas/membrane oxidation → central carbon node → lower assimilation/fermentation branches","Use for Bath metabolism, oxygen effects and carbon/electron allocation","Avoid full genome-scale enzyme density","Especially strong for linking methane oxidation to downstream carbon fate"
